Performing system checks...

System check identified no issues (0 silenced).
June 10, 2015 - 17:33:43
Django version 1.8.2, using settings 'BGPInspector.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
         258486 function calls (251489 primitive calls) in 355.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      386    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(__init__)
      355    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
      355    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:1099(create)
   355/29    0.000    0.000    0.315    0.011 <frozen importlib._bootstrap>:1122(_exec)
       31    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
   386/29    0.002    0.000    0.317    0.011 <frozen importlib._bootstrap>:1186(_load_unlocked)
      408    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1243(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1264(load_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1288(is_package)
      355    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:129(_new_module)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1313(find_spec)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
   355/29    0.001    0.000    0.315    0.011 <frozen importlib._bootstrap>:1442(exec_module)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
      355    0.003    0.000    0.052    0.000 <frozen importlib._bootstrap>:1511(get_code)
      359    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1568(__init__)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1593(get_filename)
      355    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:1598(get_data)
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1608(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1674(__init__)
        9    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1685(load_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1703(is_package)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1706(<genexpr>)
      411    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:172(__init__)
       58    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1830(_path_hooks)
      716    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1847(_path_importer_cache)
      390    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap>:1879(_get_spec)
      390    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap>:1911(find_spec)
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:192(acquire)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1956(__init__)
      558    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1962(<genexpr>)
      368    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1988(_get_spec)
